language	compound	folder	images	sentence	type pred
Serbian	пребацивање кривице	пребацивање кривице	['18860840132.png', '66616195482.png', '12533040120.png', '22227548645.png', '81741089339.png']	Међутим, значај судске праксе je и код овог питања велики јер ce њеним примерима животних околности (као што je пребацивање већег дела кривице с једног осуђеног на другог) поткрепљују теоријска мишљења која овај разлог за понављање поступка оцењују само начелно.	
Serbian	пребацивање кривице	пребацивање кривице	['18860840132.png', '66616195482.png', '12533040120.png', '22227548645.png', '81741089339.png']	"Пребацивање кривице на народ, јер је ""глуп и неписмен"", изговор је за сопствену немоћ елите да артикулише и води јавни живот."	
Serbian	пребацивање кривице	пребацивање кривице	['18860840132.png', '66616195482.png', '12533040120.png', '22227548645.png', '81741089339.png']	Пребацивање кривице је суптилни облик емоционалне манипулације који уништава поверење.	
Serbian	пребацивање кривице	пребацивање кривице	['18860840132.png', '66616195482.png', '12533040120.png', '22227548645.png', '81741089339.png']	Сведок је пребацио кривицу с оптуженог на другог човека.	
Serbian	одмор без одмора	одмор без одмора	['37958639142.png', '26991961407.png', '39018275453.png', '45243463816.png', '74563018194.png']	Кад се нека јединица распореди у бригадну или дивизијску резерву обично се говорило да је она на одмору, али то је најчешће, због војне, политичке обуке, културно-просветног и осталог рада, био одмор без правог одмора.	
Serbian	одмор без одмора	одмор без одмора	['37958639142.png', '26991961407.png', '39018275453.png', '45243463816.png', '74563018194.png']	О њему jе Дерида први пут проговорио 1976. године, у есеjу „Pas“ (у: Derrida, 1986), посвећеном Бланшоу (Maurice Blanchot) и синтагмама какве су одмор-без-одмора или вода-без-воде.	
Serbian	одмор без одмора	одмор без одмора	['37958639142.png', '26991961407.png', '39018275453.png', '45243463816.png', '74563018194.png']	Одмор без одмора води у бурноут	
Serbian	одмор без одмора	одмор без одмора	['37958639142.png', '26991961407.png', '39018275453.png', '45243463816.png', '74563018194.png']	Усред таког одморка без одмора, усред такога починка без покоја, дође ми ово твоје писмо, драги пријатељу!	
Serbian	крава музара	крава музара	['93004583680.png', '78180777747.png', '84730570922.png', '86944851846.png', '77628107767.png']	Деценијама на дијаспору се гледало као на краву музару.	
Serbian	крава музара	крава музара	['93004583680.png', '78180777747.png', '84730570922.png', '86944851846.png', '77628107767.png']	Као што се види, најкраћи пут од једног шпитаља до другог даје наша савремена књижевност, и то ће тако све донде остати, док се, према оном познатом Гетеовом стиху, књижевност не сматра као божанство, него као крава музара.	
Serbian	крава музара	крава музара	['93004583680.png', '78180777747.png', '84730570922.png', '86944851846.png', '77628107767.png']	Прва животиња која је клонирана је овца, али има данас и клонираних говеда, то су краве музаре које су оствариле високу производњу , али проблем је коришћења производа тих животиња, пре свега млека.	
Serbian	крава музара	крава музара	['93004583680.png', '78180777747.png', '84730570922.png', '86944851846.png', '77628107767.png']	Ти си одавно желела да стечеш твојој кући једну краву музару; ми ћемо ти је кол'ко данас набавити!	
Serbian	скидање на суво	скидање на суво	['89237902570.png', '59427559841.png', '12638680946.png', '89395839981.png', '21832958200.png']	За скидање флека на суво можете користити спреј за суво прање мебла или пасту од соде бикарбоне.	
Serbian	скидање на суво	скидање на суво	['89237902570.png', '59427559841.png', '12638680946.png', '89395839981.png', '21832958200.png']	"Обично пре него што овде дођу, буду у притвору неког затвора где доживе чувено ""скидање на суво"", па овде само следи психолошко одвикавање."	
Serbian	скидање на суво	скидање на суво	['89237902570.png', '59427559841.png', '12638680946.png', '89395839981.png', '21832958200.png']	Скидање (четкање) се врши на суво и тек кад смо успели да отремо боју, употребљавамо влажан или мокар сунђер, а има и таквих премаза где је везиво јаче, те га није могуће скидати “на суво”	
Serbian	скидање на суво	скидање на суво	['89237902570.png', '59427559841.png', '12638680946.png', '89395839981.png', '21832958200.png']	Тврде да се модел лечења које се у Раскршћу примењује, поклапа са скидањем на суво, те да може имати чак и смртоносни исход и наводе да пролећна верзија прихватилишта није подразумевала овај део бриге.	
Serbian	шугава овца	шугава овца	['38484072078.png', '51989752512.png', '30486028993.png', '38745691254.png', '23467178780.png']	Еле увек су на окупу, а једна шугава овца цело стадо ошуга.	
Serbian	шугава овца	шугава овца	['38484072078.png', '51989752512.png', '30486028993.png', '38745691254.png', '23467178780.png']	Пастир је наредио да се обавезно спали вуна са сваке шугаве овце, како би се спречило даље ширење паразита на здраво стадо.	
Serbian	шугава овца	шугава овца	['38484072078.png', '51989752512.png', '30486028993.png', '38745691254.png', '23467178780.png']	Снагом ваше воље и огромног новца Наши су животи бедно закинути, Србин је по вама кô шугава овца И кад дом свој брани: „Ми смо забринути“.	
Serbian	шугава овца	шугава овца	['38484072078.png', '51989752512.png', '30486028993.png', '38745691254.png', '23467178780.png']	Шугаве овце смеју се острићи; а вуна се може извозити у сашивеним џаковима.	
Serbian	за длаку 2	за длаку 2	['98050092038.png', '35305119705.png', '67218300105.png', '42150975976.png', '93743647129.png']		
Serbian	замршено као пасја цријева	замршено као пасја цријева	['28735854701.png', '42691670498.png', '76233430468.png', '56490524433.png', '84954499186.png']		
Serbian	хљеб насушни	хљеб насушни	['13953753499.png', '13308758981.png', '88671846248.png', '63352519190.png', '83581065919.png']	Зато није ни чудо што се управо у њој и јавља синтагма хљеб насушни,  тј. „хлеб који нам је потребан за одржање живота и телесног здравља (...)	
Serbian	хљеб насушни	хљеб насушни	['13953753499.png', '13308758981.png', '88671846248.png', '63352519190.png', '83581065919.png']	ПАТРИЈАРХ ПОРФИРИЈЕ: Пред мјестима отрежњења какво је Гаравице схватамо да је молитва хљеб наш насушни!	
Serbian	хљеб насушни	хљеб насушни	['13953753499.png', '13308758981.png', '88671846248.png', '63352519190.png', '83581065919.png']	Хљеб насушни отјелотворен кроз молитву Оче наш, као хљеб Божји, хљеб са небеса у Маријином четворојеванђељу, указује и на црквени и културолошки и на крају крајева и идентитетски каректер.	
Serbian	хљеб насушни	хљеб насушни	['13953753499.png', '13308758981.png', '88671846248.png', '63352519190.png', '83581065919.png']	Хљеб наш насушни: Основа сваког оброка у нашим домаћинствима је хљеб.	
Serbian	слепа улица	слепа улица	['74777017968.png', '86781277659.png', '14121765223.png', '55544136909.png', '59935765358.png']	Али и они би морали да знају да политика заоштравања етничких питања најчешће води у – слепу улицу.	
Serbian	слепа улица	слепа улица	['74777017968.png', '86781277659.png', '14121765223.png', '55544136909.png', '59935765358.png']	Како је тренутно у току реконструкција новосадског асфалта, многе од улица широм града постају ”слепе” на неко време, међутим, у Новом Саду постоје улице које нису затворене због радова, него су, тек тако, одувек ”слепе”.	
Serbian	слепа улица	слепа улица	['74777017968.png', '86781277659.png', '14121765223.png', '55544136909.png', '59935765358.png']	Милутина Бојића је слепа улица (из Палмотићеве) у којој се играо озбиљан фудбал на голиће после школе.	
Serbian	слепа улица	слепа улица	['74777017968.png', '86781277659.png', '14121765223.png', '55544136909.png', '59935765358.png']	То је пут за њихов опстанак, али лично осећам да је овој причи крај, и не могу да прорекнем кад и колико ће она трајати, јер то је слепа улица, она нема излаз.	
Serbian	на седмом небу	на седмом небу	['65730588474.png', '35851454981.png', '63676033141.png', '14486484808.png', '47039610984.png']	Газину се чињаше, да је на седмом небу.	
Serbian	на седмом небу	на седмом небу	['65730588474.png', '35851454981.png', '63676033141.png', '14486484808.png', '47039610984.png']	На седмом небу, у крошњи Дрвета свијета налази се гнијездо Сварогове помоћнице, птице Алемперке	
Serbian	на седмом небу	на седмом небу	['65730588474.png', '35851454981.png', '63676033141.png', '14486484808.png', '47039610984.png']	Серат је на седмом небу мост који води у рај; он је тањи од длаке, и ошгрији од сабљина оштрица!	
Serbian	на седмом небу	на седмом небу	['65730588474.png', '35851454981.png', '63676033141.png', '14486484808.png', '47039610984.png']	У првих неколико месеци брака осећате као да сте на седмом небу, али када занос прође , прави је тренутак да заувек освојите жену свог живота.	
Serbian	црна кутија	црна кутија	['32211574833.png', '60268086137.png', '60896366464.png', '38402121570.png', '71589819624.png']	Гина (долази споља врло опрезно, окрећући се лево и десно и не видећи Сарку, она на прсте прелази преко сцене, носећи под мишком велику црну кутију у којој је сребрн сервис).	
Serbian	црна кутија	црна кутија	['32211574833.png', '60268086137.png', '60896366464.png', '38402121570.png', '71589819624.png']	Да ли сваки човек има своју црну кутију.	
Serbian	црна кутија	црна кутија	['32211574833.png', '60268086137.png', '60896366464.png', '38402121570.png', '71589819624.png']	Комисије задужене да истраже узроке несреће у Русији и Пољској, као и доступне транскрипте разговора у кокпиту које је снимила црна кутија  утврдиле су да је посреди била грешка пилота.	
Serbian	црна кутија	црна кутија	['32211574833.png', '60268086137.png', '60896366464.png', '38402121570.png', '71589819624.png']	Он открива да је црна кутија медијског финансирања веома сложена и да има много преграда у којима се крије велики број актера у разним симбиотским и паразитским међусобним односима.	
Serbian	ствар од ништа	ствар од ништа	['33479657981.png', '38020789292.png', '37670344722.png', '59669756753.png', '82893400289.png']	Хоћу да речем, да баш с тога, гдје је ствар од ништа, немаш ме рашта непрестано молити и досађивати да ти је повратим, кад с особитог неког разлога не могу да ти повољим.	
Serbian	црно тржиште	црно тржиште	['43764073492.png', '34677514829.png', '97568321295.png', '15723503058.png', '45827228720.png']	Главна улица, где је била пијаца, сва би се црнила од света.	
Serbian	црно тржиште	црно тржиште	['43764073492.png', '34677514829.png', '97568321295.png', '15723503058.png', '45827228720.png']	Пијаца се сва црнила и црвенила од сељака из околине са њиним кратким хаљинама и црвеним пршњаком, широким шеширима и целим лепим стајаћим рувом.	
Serbian	црно тржиште	црно тржиште	['43764073492.png', '34677514829.png', '97568321295.png', '15723503058.png', '45827228720.png']	Црно тржиште балканског оружја такође утиче на друге регионе.	
Serbian	црно тржиште	црно тржиште	['43764073492.png', '34677514829.png', '97568321295.png', '15723503058.png', '45827228720.png']	Црно тржиште девиза се разгранало као замена за легално девизно тржиште, које не постоји, а неопходно је због мале понуде и велике тражње девиза и нереалног званичног девизног курса динара.	
Serbian	дерати се уз туђа носила	дерати се уз туђа носила	['48273732826.png', '23770151324.png', '54276726626.png', '60297359931.png', '33645548736.png']	Не треба се уз туђа носила дерати.	
Serbian	вредан као пчела	вредан као пчела	['74564664191.png', '82700793194.png', '92435765458.png', '13085768461.png', '20995837042.png']	А Баба Јека је била вредна као пчела.	
Serbian	вредан као пчела	вредан као пчела	['74564664191.png', '82700793194.png', '92435765458.png', '13085768461.png', '20995837042.png']	Вредна пчела тражећи мед у биљци несвесно укрштава биљке, оплођава биљке.	
Serbian	вредан као пчела	вредан као пчела	['74564664191.png', '82700793194.png', '92435765458.png', '13085768461.png', '20995837042.png']	Није дуго потрајало, а садругови, учитељи и грађани Карловачки обратише све то већу пажњу Тоши Павловићу, који је био вредан као пчела, истрајан, смеран и скроман и за то су га сви пазили и поштовали.	
Serbian	вредан као пчела	вредан као пчела	['74564664191.png', '82700793194.png', '92435765458.png', '13085768461.png', '20995837042.png']	Пчеле радилице су изузетно вредне и марљиве па током само једног дана посете и до 2.000 цветова.	
Serbian	не ничи где те не сеју	не ничи где те не сеју	['30576221684.png', '20425089473.png', '27268300132.png', '45791608804.png', '63551866588.png']	Највише има амброзије и самониклог сунцокрета на парцели где није посејан сунцокрет више од 15 год.	
Serbian	не ничи где те не сеју	не ничи где те не сеју	['30576221684.png', '20425089473.png', '27268300132.png', '45791608804.png', '63551866588.png']	Не ничи, гдје те не сију, да ти се не буде с правом приговарало: Он мора свуда носом забости.	
Serbian	не ничи где те не сеју	не ничи где те не сеју	['30576221684.png', '20425089473.png', '27268300132.png', '45791608804.png', '63551866588.png']	Није то мој соколе, већ ти хоћеш да си у свакој чорби мирођија, ти ничеш и онде где те не сеју.	
Serbian	не ничи где те не сеју	не ничи где те не сеју	['30576221684.png', '20425089473.png', '27268300132.png', '45791608804.png', '63551866588.png']	Самониклица је биљка која се не сеје него никне сама.	
Serbian	и хљеба и с хљебом	и хљеба и с хљебом	['69203248526.png', '79067496853.png', '82762856987.png', '98804158211.png', '72325029451.png']		
Serbian	говорити зиду	говорити зиду	['21811628765.png', '46195193998.png', '98111335802.png', '90536758716.png', '76616993586.png']	Загледани у лик византијске принцезе и будуће српске краљице, Ракић свечано говори зиду:	
Serbian	говорити зиду	говорити зиду	['21811628765.png', '46195193998.png', '98111335802.png', '90536758716.png', '76616993586.png']	И ускоро Давид Рашета престаде говорити зиду.	
Serbian	говорити зиду	говорити зиду	['21811628765.png', '46195193998.png', '98111335802.png', '90536758716.png', '76616993586.png']	Као да је говорио зиду, ови подаци никад нису објављени.	
Serbian	говорити зиду	говорити зиду	['21811628765.png', '46195193998.png', '98111335802.png', '90536758716.png', '76616993586.png']	Просто покушавам јавности да скренем пажњу, имам утисак да стално говорим зиду, да нико не реагује на то.	
Serbian	затворена књига	затворена књига	['69880753830.png', '26777085822.png', '28823538666.png', '31562255293.png', '11744858258.png']	На насловном листу првога и нашега издања находи се крижарски знак – и то: на ономе: усправно стојећа затворена књига с круном на њој; а на нашем: лик ходочасника.	
Serbian	затворена књига	затворена књига	['69880753830.png', '26777085822.png', '28823538666.png', '31562255293.png', '11744858258.png']	Прошлост је за њих затворена књига, а као накнаду за то, они се хвале да знају да читају будућност, а заборављају да је будућност загонетка, које се значај налази у прошлости.	
Serbian	затворена књига	затворена књига	['69880753830.png', '26777085822.png', '28823538666.png', '31562255293.png', '11744858258.png']	Срце му је као затворена књига.	
Serbian	затворена књига	затворена књига	['69880753830.png', '26777085822.png', '28823538666.png', '31562255293.png', '11744858258.png']	Шта значи сањати затворену књигу?	
Serbian	кваран зуб	кваран зуб	['24760657126.png', '83722057245.png', '69753344250.png', '92540814298.png', '34810394306.png']	Један кваран зуб цијела уста поквари.	
Serbian	кваран зуб	кваран зуб	['24760657126.png', '83722057245.png', '69753344250.png', '92540814298.png', '34810394306.png']	Млад, леп и покварен к’о кваран зуб.	
Serbian	кваран зуб	кваран зуб	['24760657126.png', '83722057245.png', '69753344250.png', '92540814298.png', '34810394306.png']	Не треба се предавати ни када зуби почну да се кваре, кваран зуб може да се излечи.	
Serbian	кваран зуб	кваран зуб	['24760657126.png', '83722057245.png', '69753344250.png', '92540814298.png', '34810394306.png']	Неопходно је контролисати дете да ли пере зубе и не би требало занемаривати и не узимати за озбиљно кварне зубе код деце што није редак случај.	
Serbian	Драги Браво	Драги Браво	['40513456976.png', '87903474136.png', '29561339932.png', '11477491676.png', '31939744971.png']	Dragi Bravo, Zovem se Aleksandar, imam 31 godinu i pišem ti iz Niša.	
Serbian	Драги Браво	Драги Браво	['40513456976.png', '87903474136.png', '29561339932.png', '11477491676.png', '31939744971.png']	Јова ће, наш газда, бити срећан вазда кад му Мара каже: Драги, браво!	
Serbian	Драги Браво	Драги Браво	['40513456976.png', '87903474136.png', '29561339932.png', '11477491676.png', '31939744971.png']	Браво, драги Ремоне, браво!	
Serbian	Драги Браво	Драги Браво	['40513456976.png', '87903474136.png', '29561339932.png', '11477491676.png', '31939744971.png']	Журке на које сви откидају: Драги Браво, може ли после Нирване Жељко Јоксимовић?	
Serbian	мед и млеко	мед и млеко	['88501563266.png', '56665199569.png', '56499451124.png', '71244273511.png', '33691682748.png']	Али, кад је већ пошао, Андрић ме је увјеравао да ће то њега брзо проћи, прошло би још јуче да је само могао набавити мало меда да помијеша с млијеком и попије – врело млијеко с медом њему је увијек било сигуран и брз лијек од прехладе, кашља и промуклости.	
Serbian	мед и млеко	мед и млеко	['88501563266.png', '56665199569.png', '56499451124.png', '71244273511.png', '33691682748.png']	Кад се пореди са Континентом, Британија себе представља као земљу меда и млека, а кључна реч је просперитет.	
Serbian	мед и млеко	мед и млеко	['88501563266.png', '56665199569.png', '56499451124.png', '71244273511.png', '33691682748.png']	Но да би дошли у контакт са мртвима, живи су у антици често препуштали уживање меса и крви мртвима, а сами остајали при житу, меду и млеку.	
Serbian	мед и млеко	мед и млеко	['88501563266.png', '56665199569.png', '56499451124.png', '71244273511.png', '33691682748.png']	Социјализам није начело неке секте, нити је нека нова вера, нити опет неки готов рецепт, по ком треба све да се склопи па да на једаред потече мед и млеко по целој Србији.	
Serbian	марљив као пчела	марљив као пчела	['97345001415.png', '29252534687.png', '31574613275.png', '11817669858.png', '73689324653.png']	Док је уважени говорник држао дирљиво посмртно слово, истрајна, марљива пчела је, не схва- тајући велику обману, изнова насртала на цветић од полимера.	
Serbian	марљив као пчела	марљив као пчела	['97345001415.png', '29252534687.png', '31574613275.png', '11817669858.png', '73689324653.png']	Домаћа karnika је изузетно марљива пчела и да на квалитет матице утичу поред генетске основе, температурни услови у току њеног одгајања, величина јаја из којих је излежена, као и макроклиматски услови.	
Serbian	марљив као пчела	марљив као пчела	['97345001415.png', '29252534687.png', '31574613275.png', '11817669858.png', '73689324653.png']	Красић је вио ванредно даровит човек – вели Босанска Вила – а уз то марљив као пчела, а та марљивост је много допринијела да је тако рано преминуо.	
Serbian	марљив као пчела	марљив као пчела	['97345001415.png', '29252534687.png', '31574613275.png', '11817669858.png', '73689324653.png']	Од меда се може добро живјети, али мораш бити марљив као пчела	
Serbian	сваком лонцу поклопац	сваком лонцу поклопац	['47951699375.png', '84254781942.png', '23129183293.png', '63770082036.png', '24946850949.png']	А немојте мишлит', е мајстори не могу начињет' и поклопац за сваки лонац.	
Serbian	сваком лонцу поклопац	сваком лонцу поклопац	['47951699375.png', '84254781942.png', '23129183293.png', '63770082036.png', '24946850949.png']	Држати кључеве, то вам значи бити сваком лонцу поклопац.	
Serbian	сваком лонцу поклопац	сваком лонцу поклопац	['47951699375.png', '84254781942.png', '23129183293.png', '63770082036.png', '24946850949.png']	Жагоре под мостом његове анатеме и проклетије бачене на отпад, на пузаво, што се у сваку боју претвара и што је поклопац за сваки лонац.	
Serbian	сваком лонцу поклопац	сваком лонцу поклопац	['47951699375.png', '84254781942.png', '23129183293.png', '63770082036.png', '24946850949.png']	Тај Богдан требао би боље припазити на себе, не би морао бити баш сваком лонцу поклопац, ни са сваким се дружити.	
Serbian	биолошки сат	биолошки сат	['37683596597.png', '37064864030.png', '54174659754.png', '88943984465.png', '33235794900.png']	Људско тело прати унутрашњи биолошки сат који се назива циркадијални ритам.	
Serbian	биолошки сат	биолошки сат	['37683596597.png', '37064864030.png', '54174659754.png', '88943984465.png', '33235794900.png']	Биолошки сат је стао насупрот мотивацији и – победио!	
Serbian	биолошки сат	биолошки сат	['37683596597.png', '37064864030.png', '54174659754.png', '88943984465.png', '33235794900.png']	Ефикасност узимања лекова, хируршких интервенција, извођења медицинских захвата и манипулација директно зависи од биолошког сата органа и система.	
Serbian	биолошки сат	биолошки сат	['37683596597.png', '37064864030.png', '54174659754.png', '88943984465.png', '33235794900.png']	Оно што нам не треба је ружан израз као што је „биолошки сат“ да нас подсети да каснимо!!!	
Serbian	крушке и јабуке	крушке и јабуке	['82090194699.png', '87789885538.png', '30354546200.png', '43429312934.png', '14487860904.png']	Зашто претходни степен такмичења, дакле мање важан, на уобичајен начин који, поред осталог, улогу среће и случаја смањује и гарантује већи квалитет игре, зашто мешати крушке и јабуке?	
Serbian	крушке и јабуке	крушке и јабуке	['82090194699.png', '87789885538.png', '30354546200.png', '43429312934.png', '14487860904.png']	И заиста мене је изненадило кад сам видео усред планине, жупно место, лепе ливаде и дивно дрвеће са крушкама и јабукама.	
Serbian	крушке и јабуке	крушке и јабуке	['82090194699.png', '87789885538.png', '30354546200.png', '43429312934.png', '14487860904.png']	Онај који се упушта у вредновање методом упоређивања, унапријед пристаје на грешке и кратковидост, покушава збрајати крушке и јабуке.	
Serbian	крушке и јабуке	крушке и јабуке	['82090194699.png', '87789885538.png', '30354546200.png', '43429312934.png', '14487860904.png']	Семена од крушака и јабука сабирају се или се при самом уживању облогорођеног воћа; или кад се крушке и јабуке изгњече да се од њих ракија пече, вино и сирће прави, - онда семена пребрати треба.	
Serbian	комплетна слика	комплетна слика	['27257142472.png', '66511057396.png', '15013885619.png', '61430233610.png', '87607129108.png']	Због овог другог битног фактора, комплетна слика је следећа- режим у борби против двије трећине “непослушног” православног народа, који жели промјене, мобилише све мањинске народе Црне Горе, како у земљи тако и у иностранству, као и све партије мањинских народа, и све то- чврсто држи под контролом.	
Serbian	комплетна слика	комплетна слика	['27257142472.png', '66511057396.png', '15013885619.png', '61430233610.png', '87607129108.png']	Комплетна слика напона приказана је на слици 3.16.	
Serbian	комплетна слика	комплетна слика	['27257142472.png', '66511057396.png', '15013885619.png', '61430233610.png', '87607129108.png']	Комплетна слика је када се стоји на једној нози, повијеног тела према левом колену, ноге, ослоњене на десну ногу.	
Serbian	комплетна слика	комплетна слика	['27257142472.png', '66511057396.png', '15013885619.png', '61430233610.png', '87607129108.png']	Ређе се дешава у наративном тексту да се једна наративна целина, оличена низом несвршених глагола у презенту, завршава несвршеним презентом, којим је исказана и комплетна слика, као што је у претхходним примерима случај с свршеним презентом.	
Serbian	безобразан као псето	безобразан као псето	['86274787553.png', '79937853057.png', '32604714248.png', '76681602614.png', '86730236763.png']	Бити безобразан као псето.	
Serbian	безобразан као псето	безобразан као псето	['86274787553.png', '79937853057.png', '32604714248.png', '76681602614.png', '86730236763.png']	Мува се Лијан под неком надстрешницом која му служи за кухињу, подстиче ватру и мијеша по казану неком огромном дрвеном кутлачом, кад ево ти однекле нечијег шарова, bезобразно псето, навадило се да около купи кости, па често упадне и под саму надстрешницу и здипи шта прије стигне.	
Serbian	безобразан као псето	безобразан као псето	['86274787553.png', '79937853057.png', '32604714248.png', '76681602614.png', '86730236763.png']	На поље из моје куће, безобразна кучко, цикну као гуја, а очи јој севаху као у тигрице.	
Serbian	безобразан као псето	безобразан као псето	['86274787553.png', '79937853057.png', '32604714248.png', '76681602614.png', '86730236763.png']	Некада ћете помислити да је пас само безобразан или немиран, а у ствари му баш и није све потаман.	
Serbian	црна овца	црна овца	['24586006877.png', '19151056120.png', '98277783467.png', '45100192199.png', '24092430532.png']	Изрод је човјек који ни на кога не личи нити кога слуша, то је црна овца која блеји када друге спавају, која спава када друге блеје.	
Serbian	црна овца	црна овца	['24586006877.png', '19151056120.png', '98277783467.png', '45100192199.png', '24092430532.png']	Не говори глупа словца – рече на то црна овца, треба да смо обе сретне што смо тако изузетне!	
Serbian	црна овца	црна овца	['24586006877.png', '19151056120.png', '98277783467.png', '45100192199.png', '24092430532.png']	Они не пију ништа, па сам ја ‘црна овца’ фамилије.	
Serbian	црна овца	црна овца	['24586006877.png', '19151056120.png', '98277783467.png', '45100192199.png', '24092430532.png']	Црну овцу или овна неће нико за божићну веселицу или бајрамски курбан заклети.	
Serbian	сипати уље на ватру	сипати уље на ватру	['99435072201.png', '74826033703.png', '53907605646.png', '71593532146.png', '99979993365.png']	Да ли је ико икада видео неког да долива уље на ватру?	
Serbian	сипати уље на ватру	сипати уље на ватру	['99435072201.png', '74826033703.png', '53907605646.png', '71593532146.png', '99979993365.png']	И медији су знали да сипају уље на ватру, свесно или несвесно, али уз свест оних који су их контролисали.	
Serbian	сипати уље на ватру	сипати уље на ватру	['99435072201.png', '74826033703.png', '53907605646.png', '71593532146.png', '99979993365.png']	Кад сипате воду на запаљено уље, вода се претвара у пару, стварајући експлозивну ерупцију врелог уља.	
Serbian	сипати уље на ватру	сипати уље на ватру	['99435072201.png', '74826033703.png', '53907605646.png', '71593532146.png', '99979993365.png']	Место да стишавају племенске страсти и нагоне за разједињавањем, па да утиру путеве за споразумевање и заједничко живљење, они сипају уље на ватру и распирују сепаратистичке и покрајинске тежње и покрете, пружајући ослонце и изговоре поквареним и недораслим политичарима да спроводе у пракси своје шарлатанске или спекулантске намере и планове.	
Slovak	vyššia moc	vyššia moc	['87563392345.png', '73948008562.png', '57443209912.png', '54425768013.png', '95538093206.png']	Nesúhlasím však s názorom, že krízu spôsobila vyššia moc a na všetko treba zabudnúť.	
Slovak	vyššia moc	vyššia moc	['87563392345.png', '73948008562.png', '57443209912.png', '54425768013.png', '95538093206.png']	Vyššia Moc zatvorila brány obchodov a pomyselným bičom vyhnala kupčenie a honbu za ziskom zo sviatočného dňa, pretože ten treba svätiť.	
Slovak	vyššia moc	vyššia moc	['87563392345.png', '73948008562.png', '57443209912.png', '54425768013.png', '95538093206.png']	Za dovoz ovocia sa totiž v tom čase neodvádzala daň, vyššia moc ju teda nakoniec zaradila medzi zeleninu a tam patrí až dodnes.	
Slovak	vyššia moc	vyššia moc	['87563392345.png', '73948008562.png', '57443209912.png', '54425768013.png', '95538093206.png']	Zasiahla asi vyššia moc, lebo dve staršie ženy, či školáčky, ktoré tam stáli, by mu pravdepodobne prvú pomoc nevedeli poskytnúť.	
Slovak	tajná operácia	tajná operácia	['41569264622.png', '45875940049.png', '86075523252.png', '26746661643.png', '84556190714.png']	Len malé množstvo úradníkov a niekoľko lekárov tejto nemocnice je zapojených do tajných operácii vyberania orgánov.	
Slovak	tajná operácia	tajná operácia	['41569264622.png', '45875940049.png', '86075523252.png', '26746661643.png', '84556190714.png']	Po tajnej operácii hrubého čreva začal minister vnútra napriek prísnemu zákazu lekárov fajčiť a piť kolu.	
Slovak	tajná operácia	tajná operácia	['41569264622.png', '45875940049.png', '86075523252.png', '26746661643.png', '84556190714.png']	V roku 1972 ho vojenský súd za zradu odsúdil na trest smrti, čo bola odmena za to, že detailne opísal množstvo tajných operácií ŠtB a KGB.	
Slovak	tajná operácia	tajná operácia	['41569264622.png', '45875940049.png', '86075523252.png', '26746661643.png', '84556190714.png']	Šesť neznámych, expertov na zbrane, muníciu, sledovanie a tajné operácie sa stretne v chátrajúcom skladisku v srdci Paríža.	
Slovak	o vlások	o vlások	['38197371243.png', '71372777410.png', '85553126946.png', '27686038958.png', '76472746550.png']	Musí byť bázon, keď doteraz neprestal s bojovými letmi, hoci toľkokrát unikol iba o vlások.	
Slovak	o vlások	o vlások	['38197371243.png', '71372777410.png', '85553126946.png', '27686038958.png', '76472746550.png']	Takže dnešný deň som spolu s vašou rodáčkou, ktorá sa nám stará o vlásky a líčenie, venovala prechádzke po Košiciach.	
Slovak	o vlások	o vlások	['38197371243.png', '71372777410.png', '85553126946.png', '27686038958.png', '76472746550.png']	To by som chcela, stráviť taký krásny deň, kde okolo Vás sa starajú o vlásky a tváričku a na fotkách sa nespoznávate.	
Slovak	atómová fyzika	atómová fyzika	['58973121539.png', '63413082708.png', '94092299768.png', '79449949848.png', '78089754033.png']	Fonológia nevyhnutne zohráva v sociálnych vedách rovnakú priekopnícku úlohu, akú zohrala napríklad atómová fyzika v súbore exaktných vied.	
Slovak	atómová fyzika	atómová fyzika	['58973121539.png', '63413082708.png', '94092299768.png', '79449949848.png', '78089754033.png']	Keď doteraz vedel sedieť na zasadnutiach lídrov členských krajín Európskej únie, tak to bude vedieť, nie je to atómová fyzika.	
Slovak	atómová fyzika	atómová fyzika	['58973121539.png', '63413082708.png', '94092299768.png', '79449949848.png', '78089754033.png']	Najčastejšie oceňovanou oblasťou je časticová fyzika, nasleduje atómová fyzika a fyzika kondenzovaného stavu.	
Slovak	atómová fyzika	atómová fyzika	['58973121539.png', '63413082708.png', '94092299768.png', '79449949848.png', '78089754033.png']	Nie je to žiadna atómová fyzika, stačí zrušiť zbytočné a nákladné regulácie, ktoré nikomu nepomáhajú.	
Slovak	špinavé peniaze	špinavé peniaze	['68803866871.png', '52499868511.png', '36647866477.png', '55437133134.png', '28870896070.png']	Keď vy si dávate pozor a prídete do pekárne, kde pred chvíľou zamestnanec pekárne držal v ruke špinavé peniaze, vám s čistím svedomím s tými špinavými rukami naberie pečivo, tak ako trošku na zamyslenie.	
Slovak	špinavé peniaze	špinavé peniaze	['68803866871.png', '52499868511.png', '36647866477.png', '55437133134.png', '28870896070.png']	Náš hlavný bojovník proti korupcii ani netuší, že špinavé peniaze sa nečistia márnotratným vyhadzovaním, ale fiktívnymi príjmami.	
