id,nc,sent,rank label,rank pred,input,output,time
87,ბაზრის ზრდა,ბაზრის ზრდა ძლიერი იყო როგორც თბილისში ისე რეგიონში.,,"['73267614519.png', '33523158633.png', '90636650798.png', '15711661947.png', '21587456592.png']","Consider the expression: [ბაზრის ზრდა] in the Georgian language, and its meaning in context: [ბაზრის ზრდა ძლიერი იყო როგორც თბილისში ისე რეგიონში.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 5, 4, 2, 3]",4.005664587020874
88,ბაზრის ზრდა,"ბაზრის ზრდა, ანუ დროთა განმავლობაში მოთხოვნის ზრდა ასევე მნიშვნელოვანი ფაქტორია.",,"['90636650798.png', '15711661947.png', '33523158633.png', '73267614519.png', '21587456592.png']","Consider the expression: [ბაზრის ზრდა] in the Georgian language, and its meaning in context: [ბაზრის ზრდა, ანუ დროთა განმავლობაში მოთხოვნის ზრდა ასევე მნიშვნელოვანი ფაქტორია.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 1, 5, 3, 4]",1.0645661354064941
89,მეწველი ძროხა,"ხალხი ჰგონიათ მეწველი ძროხა, რომელიც არჩევნების დროს ახსენდებათ, მერე გაშრა ეს ძროხა თუ მოკვდა, არავინ კითხულობს” – გორდელაძე.",,"['56667961563.png', '30548963845.png', '54053954184.png', '38676842703.png', '10420676866.png']","Consider the expression: [მეწველი ძროხა] in the Georgian language, and its meaning in context: [ხალხი ჰგონიათ მეწველი ძროხა, რომელიც არჩევნების დროს ახსენდებათ, მერე გაშრა ეს ძროხა თუ მოკვდა, არავინ კითხულობს” – გორდელაძე.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 1, 5, 3, 2]",4.582860946655273
90,მეწველი ძროხა,სახელმწიფო არ არის მეწველი ძროხა.,,"['38676842703.png', '30548963845.png', '56667961563.png', '10420676866.png', '54053954184.png']","Consider the expression: [მეწველი ძროხა] in the Georgian language, and its meaning in context: [სახელმწიფო არ არის მეწველი ძროხა.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 1, 4, 3, 5]",3.2703518867492676
91,მეწველი ძროხა,"რადგან გაჭირვებული უნდა ყოფილიყო ჩვენი ჩვენებური კაცი, ორი თუ არა მეტი, ერთი მეწველი ძროხა მაინც დაუდიოდა ეზოში.",,"['30548963845.png', '56667961563.png', '10420676866.png', '38676842703.png', '54053954184.png']","Consider the expression: [მეწველი ძროხა] in the Georgian language, and its meaning in context: [რადგან გაჭირვებული უნდა ყოფილიყო ჩვენი ჩვენებური კაცი, ორი თუ არა მეტი, ერთი მეწველი ძროხა მაინც დაუდიოდა ეზოში.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 3, 1, 4]",1.0426983833312988
92,მეწველი ძროხა,მან ერთ დღეში სამი მეწველი ძროხა დაკარგა.,,"['56667961563.png', '30548963845.png', '10420676866.png', '38676842703.png', '54053954184.png']","Consider the expression: [მეწველი ძროხა] in the Georgian language, and its meaning in context: [მან ერთ დღეში სამი მეწველი ძროხა დაკარგა.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 4, 1, 3]",1.1009275913238525
93,ჯაჭვური რეაქცია,"– რაც ხდება, ამ ყველაფერს ჯაჭვური რეაქცია ეწოდება.",,"['64779865205.png', '26899740009.png', '82944598487.png', '56791737129.png', '45651648874.png']","Consider the expression: [ჯაჭვური რეაქცია] in the Georgian language, and its meaning in context: [– რაც ხდება, ამ ყველაფერს ჯაჭვური რეაქცია ეწოდება.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 4, 1, 2, 3]",2.7100353240966797
94,ჯაჭვური რეაქცია,"“გომურთან დაკავშირებით სისტემა თავს იცავს, ჯაჭვური რეაქცია რომ არ დაიწყოს”- გია ხუხაშვილი.",,"['56791737129.png', '26899740009.png', '64779865205.png', '82944598487.png', '45651648874.png']","Consider the expression: [ჯაჭვური რეაქცია] in the Georgian language, and its meaning in context: [“გომურთან დაკავშირებით სისტემა თავს იცავს, ჯაჭვური რეაქცია რომ არ დაიწყოს”- გია ხუხაშვილი.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 3, 1, 2, 4]",3.096989393234253
95,ჯაჭვური რეაქცია,"პოლიმერაზული ჯაჭვური რეაქცია (PCR) არის ბიოქიმიური ტექნოლოგია მოლეკულლურ ბიოლოგიაში, ის ახდენს დნმ-ის ფრაგმენტების ერთი ან რამდენიმე ასლის ამფლიკაციას მრავალი ჯერადობით, და ქმნის დნმ-ის თანმიმდევრობების მილიონამდე ასლს.",,"['82944598487.png', '26899740009.png', '64779865205.png', '56791737129.png', '45651648874.png']","Consider the expression: [ჯაჭვური რეაქცია] in the Georgian language, and its meaning in context: [პოლიმერაზული ჯაჭვური რეაქცია (PCR) არის ბიოქიმიური ტექნოლოგია მოლეკულლურ ბიოლოგიაში, ის ახდენს დნმ-ის ფრაგმენტების ერთი ან რამდენიმე ასლის ამფლიკაციას მრავალი ჯერადობით, და ქმნის დნმ-ის თანმიმდევრობების მილიონამდე ასლს.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 3, 5, 1]",3.057610273361206
96,ჯაჭვური რეაქცია,"მისი თქმით, ჩინეთი, როგორც ჩანს იყენებს „ნულოვანი სიმძლავრის“ მეთოდებს, რომელთა დროსაც არ ხდება რეალური ატომური აფეთქება - ჯაჭვური რეაქცია.",,"['26899740009.png', '56791737129.png', '82944598487.png', '64779865205.png', '45651648874.png']","Consider the expression: [ჯაჭვური რეაქცია] in the Georgian language, and its meaning in context: [მისი თქმით, ჩინეთი, როგორც ჩანს იყენებს „ნულოვანი სიმძლავრის“ მეთოდებს, რომელთა დროსაც არ ხდება რეალური ატომური აფეთქება - ჯაჭვური რეაქცია.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 1, 3, 4, 5]",2.5195939540863037
97,დახურული წიგნი,მამაჩემისთვის მე დახურული წიგნი ვარ და რამდენიც არ უნდა ეცადოს მის წაკითხვას ის ვერასდროს შეძლებს.,,"['55455287290.png', '26354443757.png', '93059255336.png', '25425668720.png', '87862811605.png']","Consider the expression: [დახურული წიგნი] in the Georgian language, and its meaning in context: [მამაჩემისთვის მე დახურული წიგნი ვარ და რამდენიც არ უნდა ეცადოს მის წაკითხვას ის ვერასდროს შეძლებს.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 1, 3, 5]",2.5641088485717773
98,დახურული წიგნი,"შენ ბევრისთვის დახურული წიგნი ხარ, მაგრამ ყველაფერი იცი ყველას შესახებ, - წერდნენ ისინი და ეპშტეინს აღწერდნენ, როგორც ""ადამიანთა კოლექციონერს"".",,"['55455287290.png', '26354443757.png', '25425668720.png', '87862811605.png', '93059255336.png']","Consider the expression: [დახურული წიგნი] in the Georgian language, and its meaning in context: [შენ ბევრისთვის დახურული წიგნი ხარ, მაგრამ ყველაფერი იცი ყველას შესახებ, - წერდნენ ისინი და ეპშტეინს აღწერდნენ, როგორც ""ადამიანთა კოლექციონერს"".]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 2, 5, 1, 4]",2.550236940383911
99,დახურული წიგნი,"რადიაციული ტექნიკით შეიძლება, დახურული წიგნი წაიკითხოთ.",,"['55455287290.png', '26354443757.png', '93059255336.png', '25425668720.png', '87862811605.png']","Consider the expression: [დახურული წიგნი] in the Georgian language, and its meaning in context: [რადიაციული ტექნიკით შეიძლება, დახურული წიგნი წაიკითხოთ.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 3, 2, 5, 1]",3.1140098571777344
100,დახურული წიგნი,"ყოველი გენიალური წიგნი, ფილმი, რომელშიც ჩვენი პიროვნების წილი არაფერია, დახურული წიგნი და შეწყვეტილი ფილმია.",,"['55455287290.png', '26354443757.png', '93059255336.png', '25425668720.png', '87862811605.png']","Consider the expression: [დახურული წიგნი] in the Georgian language, and its meaning in context: [ყოველი გენიალური წიგნი, ფილმი, რომელშიც ჩვენი პიროვნების წილი არაფერია, დახურული წიგნი და შეწყვეტილი ფილმია.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 3, 1, 2, 5]",1.4850578308105469
101,მეცხრე ცა,"შემიძლია ვთქვა, რომ სწორედ აქ გარდაიხსნა ჩემში პირადი მეცხრე ცა და ათვლა დაიწყო ცხოვრების სრულიად ახალმა ეტაპმა.",,"['97694030865.png', '92728389060.png', '70979168758.png', '18822569341.png', '65809615279.png']","Consider the expression: [მეცხრე ცა] in the Georgian language, and its meaning in context: [შემიძლია ვთქვა, რომ სწორედ აქ გარდაიხსნა ჩემში პირადი მეცხრე ცა და ათვლა დაიწყო ცხოვრების სრულიად ახალმა ეტაპმა.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 5, 4, 3, 2]",1.2565603256225586
102,მეცხრე ცა,"აქ ჩამერთო მეექვსე გრძნობა ,თუ “მეცხრე ცა “ და ელვისსისწრაფით ამოვყავი თავი გლდანში.",,"['97694030865.png', '92728389060.png', '70979168758.png', '18822569341.png', '65809615279.png']","Consider the expression: [მეცხრე ცა] in the Georgian language, and its meaning in context: [აქ ჩამერთო მეექვსე გრძნობა ,თუ “მეცხრე ცა “ და ელვისსისწრაფით ამოვყავი თავი გლდანში.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 5, 4, 3, 2]",2.509641170501709
103,მეცხრე ცა,"გამოთქმული, რომ, შესაძლებელია, აქ იგულისხმებოდეს არა მეცხრე ცა, არამედ ცხრა ცა.",,"['92728389060.png', '70979168758.png', '97694030865.png', '18822569341.png', '65809615279.png']","Consider the expression: [მეცხრე ცა] in the Georgian language, and its meaning in context: [გამოთქმული, რომ, შესაძლებელია, აქ იგულისხმებოდეს არა მეცხრე ცა, არამედ ცხრა ცა.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 1, 5, 3, 2]",2.4195454120635986
104,მეცხრე ცა,"გაბრწყინდა მეცხრე ცა, განათდა იკანკლედი, ზოდიაქოები ერთმანეთში აირივნენ და ამ ქაოსიდან მისი სახე გამოინაკვთა, ლამაზი პროფილით, გრძელი, სწორი თმით, თმაში შროშანებით, ხელში ცისკრის ვარსკვლავი ეჭირა და შიშველ ტერფებთან თეთრი კურდღლები დაუხტოდნენ.",,"['70979168758.png', '92728389060.png', '97694030865.png', '18822569341.png', '65809615279.png']","Consider the expression: [მეცხრე ცა] in the Georgian language, and its meaning in context: [გაბრწყინდა მეცხრე ცა, განათდა იკანკლედი, ზოდიაქოები ერთმანეთში აირივნენ და ამ ქაოსიდან მისი სახე გამოინაკვთა, ლამაზი პროფილით, გრძელი, სწორი თმით, თმაში შროშანებით, ხელში ცისკრის ვარსკვლავი ეჭირა და შიშველ ტერფებთან თეთრი კურდღლები დაუხტოდნენ.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 2, 1, 5, 4]",2.3892669677734375
105,ცივი ნუგეში,მაგრამ გულს ისრად ესობოდა ცივი ნუგეში და იკუმშებოდა დალახვრული.,,"['88343564263.png', '94158667147.png', '89964963721.png', '13230523377.png', '88914022828.png']","Consider the expression: [ცივი ნუგეში] in the Georgian language, and its meaning in context: [მაგრამ გულს ისრად ესობოდა ცივი ნუგეში და იკუმშებოდა დალახვრული.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 4, 5, 1, 2]",4.317251920700073
106,ცივი ნუგეში,მაგრამ გულს ისრად ესობოდა ცივი ნუგეში და იკუმშებოდა დალახვრული.,,"['13230523377.png', '94158667147.png', '88914022828.png', '89964963721.png', '88343564263.png']","Consider the expression: [ცივი ნუგეში] in the Georgian language, and its meaning in context: [მაგრამ გულს ისრად ესობოდა ცივი ნუგეში და იკუმშებოდა დალახვრული.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 2, 5, 4]",4.60125470161438
107,ცივი ნუგეში,"ცივი ნუგეში იყო, როდესაც რამდენიმე თვის შემდეგ, მასშტაბური კვლევა დაადასტურა ჩემმა ჩვენებამ და სამთავრობო უწყებებმა სტეროიდები COVID-19 პაციენტების მკურნალობის სტანდარტულ პროგრამებს დაამატეს.",,"['88914022828.png', '94158667147.png', '88343564263.png', '13230523377.png', '89964963721.png']","Consider the expression: [ცივი ნუგეში] in the Georgian language, and its meaning in context: [ცივი ნუგეში იყო, როდესაც რამდენიმე თვის შემდეგ, მასშტაბური კვლევა დაადასტურა ჩემმა ჩვენებამ და სამთავრობო უწყებებმა სტეროიდები COVID-19 პაციენტების მკურნალობის სტანდარტულ პროგრამებს დაამატეს.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 1, 5, 2, 3]",3.0581634044647217
108,ცივი ნუგეში,ცივი ნუგეშივით იყო ნაპოვნი გასაღები.,,"['13230523377.png', '88914022828.png', '94158667147.png', '89964963721.png', '88343564263.png']","Consider the expression: [ცივი ნუგეში] in the Georgian language, and its meaning in context: [ცივი ნუგეშივით იყო ნაპოვნი გასაღები.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 3, 5, 1]",1.6184532642364502
109,ცივი შხაპი,“ძალიან ცივი შხაპი მიიღეს” გერმანიის ელჩზე “ორკესტრირებული თავდასხმის” გამო.,,"['66722941132.png', '19529494615.png', '64162426781.png', '31918505110.png', '99827147823.png']","Consider the expression: [ცივი შხაპი] in the Georgian language, and its meaning in context: [“ძალიან ცივი შხაპი მიიღეს” გერმანიის ელჩზე “ორკესტრირებული თავდასხმის” გამო.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 2, 5, 1, 4]",1.5431735515594482
110,ცივი შხაპი,"როგორც მან თქვა, თამაშის ბოლოს ცივი შხაპი მიიღეს, მაგრამ გამარჯვებაში დარწმუნებული იყვნენ.",,"['66722941132.png', '19529494615.png', '99827147823.png', '64162426781.png', '31918505110.png']","Consider the expression: [ცივი შხაპი] in the Georgian language, and its meaning in context: [როგორც მან თქვა, თამაშის ბოლოს ცივი შხაპი მიიღეს, მაგრამ გამარჯვებაში დარწმუნებული იყვნენ.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 1, 2, 3, 5]",2.7861783504486084
111,ცივი შხაპი,"ერთი ბოლოდროინდელი კვლევა, რომელშიც რამდენიმე ფიტნეს ენთუზიასტი მონაწილეობდა, ცივი შხაპის გავლენის შესწავლას მიეძღვნა.",,"['66722941132.png', '19529494615.png', '31918505110.png', '99827147823.png', '64162426781.png']","Consider the expression: [ცივი შხაპი] in the Georgian language, and its meaning in context: [ერთი ბოლოდროინდელი კვლევა, რომელშიც რამდენიმე ფიტნეს ენთუზიასტი მონაწილეობდა, ცივი შხაპის გავლენის შესწავლას მიეძღვნა.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 5, 4, 3, 2]",3.712812662124634
112,ცივი შხაპი,"ცივი შხაპი შესაძლოა არ იყოს კარგი იდეა, თუკი სხეული გადაცივებულია.",,"['66722941132.png', '19529494615.png', '31918505110.png', '64162426781.png', '99827147823.png']","Consider the expression: [ცივი შხაპი] in the Georgian language, and its meaning in context: [ცივი შხაპი შესაძლოა არ იყოს კარგი იდეა, თუკი სხეული გადაცივებულია.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 1, 3, 5]",1.5166707038879395
